"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.763539727E0,1.493743062E-1,7.218294144E-1,3.597793579E-1
3.773539660E0,3.055303097E-1,4.728631973E-1,3.255224228E-1
3.783539626E0,2.898374796E-1,4.657230377E-1,3.411397934E-1
3.793539659E0,1.073210835E-1,-1.446113586E-1,-1.614294052E-1
3.803539659E0,-1.573518515E-1,-5.937767029E-2,-1.781945229E-1
3.813539625E0,-2.300881743E-1,3.244915009E-1,-4.688739777E-3
3.823539691E0,-2.357791066E-1,3.218965530E-1,1.102447510E-3
3.833539724E0,2.506576777E-1,5.972957611E-1,4.043626785E-1
3.843539724E0,4.254188538E-1,2.658576965E-1,3.162217140E-1
3.853539690E0,1.886022687E-1,-1.897869110E-1,1.358404160E-1
3.863539723E0,1.822438240E-1,-1.967325211E-1,1.498312950E-1
3.873539756E0,-2.522318959E-1,-1.377992630E-1,-4.670715332E-2
