"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.141030596E0,-1.571450830E-1,1.553888470E-1,1.181260645E-1
3.153544652E0,-1.895209402E-1,1.627192348E-1,1.077413559E-1
3.163544618E0,-1.803579628E-1,1.431715488E-1,7.536549866E-2
3.173544618E0,-1.461495161E-1,1.077413559E-1,3.627012298E-2
3.183544584E0,-1.107193232E-1,6.131559983E-2,7.559457328E-3
3.193544550E0,-8.811730891E-2,-5.268712528E-3,-1.137736533E-2
3.203544583E0,-6.368270516E-2,-7.979427278E-2,-1.870774850E-2
3.213544549E0,-3.313944116E-2,-1.451568604E-1,-2.237293869E-2
3.223544515E0,-2.596177394E-3,-1.848630905E-1,-1.931861416E-2
3.233544481E0,5.299255997E-2,-2.471713424E-1,-2.909245715E-2
3.243544514E0,1.006400511E-1,-3.003166318E-1,-6.024658307E-2
3.253544547E0,1.562287807E-1,-3.571271002E-1,-1.011745557E-1
3.263544513E0,2.246456891E-1,-4.169918895E-1,-1.402699351E-1
3.273544546E0,2.863430977E-1,-4.652502537E-1,-1.598176211E-1
3.283544579E0,3.248275816E-1,-4.829653203E-1,-1.384373307E-1
3.293544545E0,3.321579695E-1,-4.530329406E-1,-9.445504099E-2
3.303544511E0,3.156646192E-1,-3.760639131E-1,-4.802928120E-2
3.313544511E0,2.955060601E-1,-2.893210649E-1,-4.657847341E-3
3.323544544E0,2.875648141E-1,-2.031890452E-1,2.771801129E-2
3.333544577E0,2.918408811E-1,-1.634828150E-1,2.649627998E-2
3.343544543E0,3.003929853E-1,-1.359938681E-1,2.527454868E-2
3.353544576E0,3.107776940E-1,-1.188896447E-1,3.260493279E-2
3.363544609E0,3.217732608E-1,-1.237765700E-1,4.909829423E-2
3.373544575E0,3.364340365E-1,-1.689805984E-1,6.925684959E-2
3.383544541E0,3.565925956E-1,-2.447278947E-1,7.841982692E-2
3.393544574E0,3.779728711E-1,-3.223077655E-1,7.658722997E-2
3.403544607E0,3.901901841E-1,-4.017202556E-1,7.170030475E-2
3.413544540E0,3.828597963E-1,-5.141194463E-1,8.697193861E-2
3.423544540E0,3.663664162E-1,-5.513822436E-1,1.059087589E-1
3.433544573E0,3.407101035E-1,-5.605452061E-1,1.370628923E-1
3.443544573E0,3.107776940E-1,-5.568800569E-1,1.724930704E-1
3.453544539E0,2.826778889E-1,-5.379431844E-1,2.018146068E-1
3.463544539E0,2.527455091E-1,-5.061782002E-1,2.091449946E-1
3.473544605E0,2.191479057E-1,-4.457025528E-1,2.042580694E-1
3.483544638E0,1.824959964E-1,-3.638466001E-1,2.005928755E-1
3.493544604E0,1.434006095E-1,-2.887101769E-1,2.097558528E-1
3.503544570E0,8.109235764E-2,-1.976912618E-1,2.488512248E-1
3.513544603E0,5.787948146E-2,-1.561524272E-1,2.775619030E-1
