"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.996212875E0,-1.395404759E-1,1.702121553E-1,-1.723098439E-1
3.006166875E0,-2.074187194E-1,1.577467686E-1,-1.279581285E-1
3.016119875E0,-2.301977539E-1,9.872877449E-2,-1.724928617E-4
3.026073875E0,-1.982537205E-1,3.671642125E-2,1.481655210E-1
3.036026875E0,-1.018992810E-1,-2.787279993E-2,2.398609722E-1
3.045980875E0,3.864216518E-2,-7.477273196E-2,2.661079538E-1
3.055933875E0,1.908705144E-1,-5.876773328E-2,1.781026804E-1
3.065887875E0,2.776992914E-1,-2.169024646E-2,7.461514950E-2
3.075841875E0,2.504842301E-1,-2.587539107E-2,-6.000646591E-2
3.085794875E0,1.346130639E-1,-2.693549126E-2,-9.608378649E-2
3.095748875E0,-1.175399981E-2,-6.696465254E-2,-7.513262808E-2
3.105701875E0,-1.345765188E-1,-8.068923712E-2,1.990626097E-2
3.115655875E0,-1.626439579E-1,-1.060243455E-1,9.939331055E-2
3.125608875E0,-8.515325736E-2,-1.059986177E-1,1.069297868E-1
3.135562875E0,5.267939307E-3,-9.961199641E-2,4.325360835E-2
3.145515875E0,8.133294247E-2,-8.246386707E-2,5.154320598E-3
3.155469875E0,9.711340807E-2,-3.451026678E-2,2.716031671E-2
3.165422875E0,4.111809555E-2,2.083859950E-2,8.405255556E-2
3.175376875E0,-4.418302327E-3,3.047627270E-2,1.698206842E-1
3.185330875E0,-4.966942918E-2,3.828230560E-2,2.108663839E-1
3.195283875E0,-5.837096315E-2,6.598290503E-3,2.043169177E-1
3.205237875E0,9.988725409E-3,-6.068094224E-2,1.384585583E-1
3.215190875E0,1.069596807E-1,-7.744374007E-2,5.668817103E-2
3.225144875E0,1.647243972E-1,-7.831439048E-2,-8.971499920E-2
3.235097875E0,1.718929740E-1,-4.425143570E-2,-2.475576621E-1
3.245051875E0,1.342524368E-1,2.993686706E-2,-2.941991472E-1
3.255004875E0,1.932800788E-2,9.389312714E-2,-2.867626584E-1
3.264958875E0,-1.363677767E-1,1.027791408E-1,-1.906209844E-1
3.274911875E0,-2.751531944E-1,8.328101546E-2,-2.659138262E-2
3.284865875E0,-3.359651143E-1,7.984168321E-2,1.418967211E-1
3.294819875E0,-2.829906195E-1,2.557718307E-2,2.488001955E-1
3.304772875E0,-1.590072090E-1,-3.814080298E-2,2.612489176E-1
3.314726875E0,3.498630323E-2,-6.919682711E-2,1.746843982E-1
3.324679875E0,2.381252627E-1,-3.364634067E-2,6.781776130E-2
3.334633875E0,3.325798322E-1,-2.783450067E-2,-3.294789076E-2
3.344586875E0,3.061106199E-1,-3.434712946E-2,-6.657932103E-2
3.354540875E0,2.029932908E-1,-4.006512165E-2,-2.421682835E-2
3.364493875E0,2.816687834E-2,-7.888712525E-2,3.208659589E-2
3.374447875E0,-1.010342585E-1,-1.042719349E-1,7.272240579E-2
3.384400875E0,-1.562317550E-1,-6.579374760E-2,4.900960743E-2
3.394354875E0,-1.684705621E-1,-2.352188677E-2,-4.058961689E-2
3.404308875E0,-1.287275124E-1,4.120240510E-3,-1.381743836E-1
3.414261875E0,-9.479780104E-2,1.564948797E-2,-1.794048554E-1
3.424215875E0,-8.810602818E-2,9.102652967E-3,-1.229798090E-1
3.434168875E0,-9.116108872E-2,-2.233928740E-2,-2.696911275E-2
3.444122875E0,-5.365032323E-2,-5.575027764E-2,1.026601499E-1
3.454075875E0,9.060881920E-3,-5.991115630E-2,1.983679605E-1
3.464029875E0,4.944946423E-2,-1.030703321E-1,1.957484078E-1
3.473982875E0,9.222634178E-2,-1.340348473E-1,1.467247671E-1
3.483936875E0,1.482364916E-1,-1.403711826E-1,7.676400125E-2
