"Time (s)","X (hPa)"
6.590343980E2,1.026391907E3
6.600691160E2,1.026442642E3
6.611039040E2,1.026509399E3
6.621387240E2,1.026580658E3
6.631735520E2,1.026645889E3
6.642084170E2,1.026714096E3
6.652432460E2,1.026780243E3
6.662780660E2,1.026824493E3
6.673128480E2,1.026860962E3
6.683476610E2,1.026876450E3
6.693825110E2,1.026892624E3
6.704173740E2,1.026911774E3
6.714521910E2,1.026933441E3
6.724870210E2,1.026951447E3
6.735218530E2,1.026981125E3
6.745566330E2,1.027020264E3
6.755914410E2,1.027048340E3
6.766262290E2,1.027066727E3
6.776609900E2,1.027066727E3
6.786957430E2,1.027063980E3
6.797305050E2,1.027057266E3
6.807652750E2,1.027053604E3
6.818000210E2,1.027053604E3
6.828348010E2,1.027059479E3
6.838695840E2,1.027068787E3
6.849043410E2,1.027068787E3
6.859391190E2,1.027062683E3
6.869739190E2,1.027061310E3
6.880087600E2,1.027057495E3
6.890435900E2,1.027050552E3
6.900784670E2,1.027050552E3
6.911133150E2,1.027051163E3
6.921481120E2,1.027066574E3
6.931829160E2,1.027084885E3
6.942177410E2,1.027102203E3
6.952525440E2,1.027117996E3
6.962873340E2,1.027137222E3
6.973221390E2,1.027147751E3
6.983569750E2,1.027147751E3
6.993917940E2,1.027142410E3
7.004266010E2,1.027088165E3
7.014613970E2,1.027025604E3
7.024962420E2,1.026959076E3
7.035311250E2,1.026887207E3
7.045660210E2,1.026841965E3
7.056009240E2,1.026836090E3
7.066357700E2,1.026835480E3
7.076706250E2,1.026834564E3
7.087055330E2,1.026833420E3
7.097404560E2,1.026829071E3
7.107753700E2,1.026818924E3
7.118102820E2,1.026803665E3
7.128451350E2,1.026801682E3
7.138800890E2,1.026801682E3
7.149150100E2,1.026800995E3
7.159500030E2,1.026791382E3
7.169849410E2,1.026772995E3
7.180199220E2,1.026740036E3
7.190548600E2,1.026705017E3
7.200898380E2,1.026669312E3
7.211247910E2,1.026649017E3
7.221597650E2,1.026646881E3
7.231947450E2,1.026644821E3
7.242297210E2,1.026635437E3
7.252647270E2,1.026621552E3
7.262997030E2,1.026610336E3
7.273346000E2,1.026610336E3
7.283694820E2,1.026615448E3
7.294043680E2,1.026628036E3
7.304392170E2,1.026645050E3
7.314741860E2,1.026659164E3
7.325091740E2,1.026659317E3
7.335441420E2,1.026661530E3
7.345790350E2,1.026663895E3
7.356139200E2,1.026667099E3
7.366488120E2,1.026671753E3
7.376837160E2,1.026679535E3
7.387186810E2,1.026689987E3
7.397537020E2,1.026702118E3
7.407886340E2,1.026743546E3
7.418235130E2,1.026793365E3
7.428583690E2,1.026842880E3
7.438932110E2,1.026890793E3
7.449280810E2,1.026934967E3
7.459629490E2,1.026950378E3
7.469978470E2,1.026955490E3
7.480327650E2,1.026957703E3
7.490676880E2,1.026960754E3
7.501025850E2,1.026963959E3
7.511375200E2,1.026967087E3
7.521724360E2,1.026969833E3
7.532073630E2,1.026980438E3
7.542422540E2,1.027003098E3
7.552771580E2,1.027018890E3
7.563120610E2,1.027038651E3
7.573469530E2,1.027064438E3
7.583818850E2,1.027090836E3
7.594167920E2,1.027102203E3
7.604516180E2,1.027123871E3
7.614864490E2,1.027144852E3
7.625213350E2,1.027155151E3
7.635561730E2,1.027155151E3
7.645910000E2,1.027155151E3
7.656258580E2,1.027121048E3
7.666606990E2,1.027082901E3
7.676955530E2,1.027065506E3
7.687304160E2,1.027065506E3
7.697652710E2,1.027087021E3
7.708001080E2,1.027137146E3
7.718349420E2,1.027184677E3
7.728698010E2,1.027212448E3
7.739046190E2,1.027212448E3
7.749394830E2,1.027198334E3
7.759743290E2,1.027184296E3
7.770092080E2,1.027170258E3
7.780440410E2,1.027157364E3
7.790789690E2,1.027152863E3
7.801139070E2,1.027144699E3
7.811488160E2,1.027124557E3
7.821837200E2,1.027100449E3
7.832185870E2,1.027090759E3
7.842534380E2,1.027090759E3
7.852883140E2,1.027101898E3
7.863231680E2,1.027126007E3
7.873579960E2,1.027155991E3
